x,p,T
15.525,0.714286,1
15.575,0.714286,1
15.625,0.714286,1
15.675,0.714286,1
15.725,0.714286,1
15.775,0.714286,1
15.825,0.714286,1
15.875,0.714286,1
15.925,0.714286,1
15.975,0.714286,1
16.025,0.714286,1
16.075,0.714286,1
16.125,0.714286,1
16.175,0.714286,1
16.225,0.714286,1
16.275,0.714286,1
16.325,0.714286,1
16.375,0.714286,1
16.425,0.714286,1
16.475,0.714286,1
16.525,0.714286,1
16.575,0.714286,1
16.625,0.714286,1
16.675,0.714286,1
16.725,0.714286,1
16.775,0.714286,1
16.825,0.714286,1
16.875,0.714286,1
16.925,0.714286,1
16.975,0.714286,1
17.025,0.714286,1
17.075,0.714286,1
17.125,0.714286,1
17.175,0.714286,1
17.225,0.714286,1
17.275,0.714286,1
17.325,0.714286,1
17.375,0.714286,1
17.425,0.714286,1
17.475,0.714286,1
17.525,0.714286,1
17.575,0.714286,1
17.625,0.714286,1
17.675,0.714286,1
17.725,0.714286,1
17.775,0.714286,1
17.825,0.714286,1
17.875,0.714286,1
17.925,0.714286,1
17.975,0.714286,1
18.025,0.714286,1
18.075,0.714286,1
18.125,0.714286,1
18.175,0.714286,1
18.225,0.714286,1
18.275,0.714286,1
18.325,0.714286,1
18.375,0.714286,1
18.425,0.714286,1
18.475,0.714286,1
18.525,0.714286,1
18.575,0.714286,1
18.625,0.714286,1
18.675,0.714286,1
18.725,0.714286,1
18.775,0.714286,1
18.825,0.714286,1
18.875,0.714286,1
18.925,0.714286,1
18.975,0.714286,1
19.025,0.714286,1
19.075,0.714286,1
19.125,0.714286,1
19.175,0.714286,1
19.225,0.714286,1
19.275,0.714286,1
19.325,0.714286,1
19.375,0.714286,1
19.425,0.714286,1
19.475,0.714286,1
19.525,0.714286,1
19.575,0.714286,1
19.625,0.714286,1
19.675,0.714286,1
19.725,0.714286,1
19.775,0.714286,1
19.825,0.714286,1
19.875,0.714286,1
19.925,0.714286,1
19.975,0.714286,1
20.025,0.714286,1
20.075,0.714286,1
20.125,0.714286,1
20.175,0.714286,1
20.225,0.714286,1
20.275,0.714286,1
20.325,0.714286,1
20.375,0.714286,1
20.425,0.714286,1
20.475,0.714286,1
20.525,0.714286,1
20.575,0.714286,1
20.625,0.714286,1
20.675,0.714286,1
20.725,0.714286,1
20.775,0.714286,1
20.825,0.714286,1
20.875,0.714286,1
20.925,0.714286,1
20.975,0.714286,1
21.025,0.714286,1
21.075,0.714286,1
21.125,0.714286,1
21.175,0.714286,1
21.225,0.714286,1
21.275,0.714286,1
21.325,0.714286,1
21.375,0.714286,1
21.425,0.714286,1
21.475,0.714286,1
21.525,0.714286,1
21.575,0.714286,1
21.625,0.714286,1
21.675,0.714286,1
21.725,0.714286,1
21.775,0.714286,1
21.825,0.714286,1
21.875,0.714286,1
21.925,0.714286,1
21.975,0.714286,1
22.025,0.714286,1
22.075,0.714286,1
22.125,0.714286,1
22.175,0.714286,1
22.225,0.714286,1
22.275,0.714286,1
22.325,0.714286,1
22.375,0.714286,1
22.425,0.714286,1
22.475,0.714286,1
22.525,0.714286,1
22.575,0.714286,1
22.625,0.714286,1
22.675,0.714286,1
22.725,0.714286,1
22.775,0.714286,1
22.825,0.714286,1
22.875,0.714286,1
22.925,0.714286,1
22.975,0.714286,1
23.025,0.714286,1
23.075,0.714286,1
23.125,0.714286,1
23.175,0.714286,1
23.225,0.714286,1
23.275,0.714286,1
23.325,0.714286,1
23.375,0.714286,1
23.425,0.714286,1
23.475,0.714286,1
23.525,0.714286,1
23.575,0.714286,1
23.625,0.714286,1
23.675,0.714286,1
23.725,0.714286,1
23.775,0.714286,1
23.825,0.714286,1
23.875,0.714286,1
23.925,0.714286,1
23.975,0.714286,1
24.025,0.714286,1
24.075,0.714286,1
24.125,0.714286,1
24.175,0.714286,1
24.225,0.714286,1
24.275,0.714286,1
24.325,0.714286,1
24.375,0.714286,1
24.425,0.714286,1
24.475,0.714286,1
24.525,0.714286,1
24.575,0.714286,1
24.625,0.714286,1
24.675,0.714286,1
24.725,0.714286,1
24.775,0.714286,1
24.825,0.714286,1
24.875,0.714286,1
24.925,0.714286,1
24.975,0.714286,1
25.025,0.714286,1
25.075,0.714286,1
25.125,0.714286,1
25.175,0.714286,1
25.225,0.714286,1
25.275,0.714286,1
25.325,0.714286,1
25.375,0.714286,1
25.425,0.714286,1
25.475,0.714286,1
25.525,0.714286,1
25.575,0.714286,1
25.625,0.714286,1
25.675,0.714286,1
25.725,0.714286,1
25.775,0.714286,1
25.825,0.714286,1
25.875,0.714286,1
25.925,0.714286,1
